Название,Ссылка,Информация
"
                        Mdcconcept                    ",http://www.topinteractiveagencies.com/digital/agency/africa/mdcconcept/,"Se réunir est un début; rester ensemble est un progrès; travailler ensemble est la réussite.
– Henry Ford, Chaque entreprise a sa propre histoire et l’essence de la nôtre ne diffère pas de celle de plusieurs entrepreneurs du Maroc. C’est pourquoi nous comprenons votre réalité, ainsi que les enjeux que représente pour vous le développement de votre entreprise par le marketing traditionnel et sur le web., Oui, nous sommes les heureuses victimes de notre succès! De travailleur autonome à petite entreprise, notre fondateur,Samir Baladi, agrandit depuis 2014 l’équipe pour continuer d’offrir expertise et service de qualité à notre clientèle en plein essor. Et c’est dans l’optique de nos valeurs de base d’intégrité, d’excellence et de respect que nous recrutons les meilleurs talents pour se joindre à nous., Comme plusieurs entrepreneurs, nous avons aussi été inspirés par des rencontres passionnantes, des mentors engagés et des lectures marquantes. Comme des éponges, nous absorbons le meilleur de nos expériences dans une quête constante de croissance personnelle et professionnelle. Nous espérons avoir le privilège de travailler avec vous prochainement, afin d’améliorer la performance et la visibilité de votre entreprise et ainsi vous aider à conquérir, vous aussi, votre niche.
, Headquarters: Casablanca, Morocco, Phone: 0522203021, Agency Email: mdcconcept3@gmail.com, Staff: less than 8, Clients: RENAULT Morocco, DACIA Morocco, INWI the third telecom operator in Morocco, WAFASALAF the leader of credit in Morocco, Mcdonalds Morocco, GEOMEDIA…,  , ,  , Web: http://www.mdcconcept.ml/, Social Media: https://www.facebook.com/mdcconcept, https://twitter.com/mdcconcept3, Services: , – CMS : Joomla, WordPress, Drupal, Typo3, JoomlaVirtuemart, Prestashop, Magento
– Specific development PHP4 / 5, Symphony framework
– Specific development DotNet
– Montage templates xHTML / CSS – HTML 5 jQuery – Responsive design
– FLASH / FLEX / AIR
– Online advertising
– Animation of social media (Community Management) – Mounting Newsletters
– Facebook Applications – Android Apps / Mobile
– Display – Works graphics – Adwords – Doubleclick"
Название,Ссылка,Информация
"
                        Liquorice DigitasLBi                    ",http://www.topinteractiveagencies.com/digital/agency/africa/south-africa/liquorice-digitaslbi/,"Innovation isn’t just the way we work; it’s the way we live., Headquarters: Liquorice, The Block, 51 Wale Street – Cape Town – South Africa, Phone: +27 (0) 861 555 908, Email address: info@liquorice.co.za, Clients: Sunlight, JC Le Roux, ProNutro, Weet-Bix, Bovril, Marmite, Safari, BP, Corn Flakes, Renault, Oatbix, Otees, Natures Source, Right Start, Liqui-Fruit, Ceres, Fruitree, Sasko, White Star, Vaseline Ethiopia, Vaseline Nigeria, Pears Nigeria, Blue Band, , Web: www.liquorice.co.za, Social Media: 
www.facebook.com/liquoricedigital
www.twitter.com/LiquoriceOnline
www.linkedin.com/company/liquorice-africa, Services:
We’re one of Africa’s top full service digital agencies, with work that extends across the continent, including Nigeria, Ethiopia, Ghana, Kenya and South Africa. And our reach doesn’t stop there. We’re a member of the world’s largest digital network – DigitasLBi, giving our clients access to over 7,000 digital experts, in 40 offices across 25 countries., We offer a start to finish approach with all digital experts in-house including, Design, Copy, Production, Content, Quality Assurance, Programming, UX, Client Service, Digital Strategy and Social Media., About:
Our culture is fun, forward-thinking and collaborative: we employ the best, tool the best and always strive to be the best!, The work we produce is of exceptional creative quality and our creative department combines craft, attention to detail and strategic thinking to kindle the creation of work that works. Our work has won dozens of industry awards and regularly wins Unilever global awards. Liquorice was also named the New Generation agency of the year in 2014., The creative team closely collaborates with other departments within the agency to create work that is not only aesthetically pleasing, but effective. This ensures that we not only come up with great ideas, but also deliver robust, measurable solutions that deliver consistently."
Название,Ссылка,Информация
"
                        Mataora                    ",http://www.topinteractiveagencies.com/digital/agency/africa/mataora/,"Mataora is a digital creative agency and ‘partner’ of luxury brands. We are an independent creative agency on a human scale, putting more than 15 years of know-how in visual and digital strategy at your service to enhance your brand identity. Originality, authenticity, excentricity: each project is a challenge that drives our gold-standard creativity to perpetual renewal, in perfect harmony with that of the designers who fashion the future of the luxury brands. From small design houses to international brands, our agency adapts to every type of project., Office in Mauritius: CO2, Ebène Junction, Rue de la démocratie, Ebène, Mauritius
Office in Hong Kong: Unit 1010, Miramar Tower, 132 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong, Tel: +230 5784 0985 MR / +852 8192 5025 HK / +33 977 215 215 PR, Mail: network@mataora.com / contact@mataora.com, Clients: iHuman, Alessio Boschi, Veranda Leisure Hospitality, Tresoir Noir, Qayten, Gianna, Parisien Group, La Maison du Carat, Mekong Cruises, , Web: http://mataora.com/, Social Media:
https://www.facebook.com/MataoraDesign
https://twitter.com/Mataora_design, Services: Visual Communication, Logotype, Brand identity, Advertising concept, Packagings, Posters & Stands, Flyers & Catalog, Web & Mobile Design, WordPress website, Ecommerce Solutions, Ux Design & Ui Design, Responsive design Website, Landing page, Emailing & Banners, Photography, Photo Studio in Paris & Lyon, Castings & Models, Make Up, Packshot, Photo Retouching, Advanced Compositing"
Название,Ссылка,Информация
"
                        SMART CODES                    ",http://www.topinteractiveagencies.com/digital/agency/africa/smart-codes/,"SMART CODES is a Web and Mobile Software Development Company.
They specializes in develop and implement Web & Mobile strategy and give awesome technology experiences to their clients., Headquarters: 1st Floor C&G Plaza, Mikocheni A – Dar es salaam – Tanzania, Phone: +255786675487, Email address: project@smartcodes.co.tz, Clients:
AirTel Tanzania,
Startimes,
Huawei Technologies Tanzania,
Heineken Tanzania,
TV1,
TZNIC (Tanzania Network Information Centre)
Giraffe Hotel,
Creative Eye Africa,, , Web: www.smartcodes.co.tz , Social Media:
www.facebook.com/smartcods 
www.twitter.com/smartcods, Services:
We offer a complete Web and Mobile solution that covers the full product and software development lifecycle: consulting, requirements analysis, story-boarding, prototyping, UX and interface design, development, release management and maintenance/support. , Our mascot, the SmartCodes Ostrich, illuminates what makes us different. We are fast, efficient and precise, just like how ostriches operate in the animal kingdom. It’s in our precision that our motto ‘technology for everyone’ works. Whether you are just starting your business or if you are the head of a conglomerate, we can meet your tech requirements to ensure that your business is turbocharged for its future."
Название,Ссылка,Информация
"
                        Pyxicom                    ",http://www.topinteractiveagencies.com/digital/agency/africa/pyxicom/,"The web agency Pyxicom was created in 2000. After 14 years of experience in the fields of institutional and digital communication with major European accounts, the agency wanted to position itself as a leader on the Moroccan market, and also to quickly gain expertise in web development in Offshore., Headquarters: Agence pyxicom, 10, rue Maâti Bakhay, Rabat, Morocco, Tel: +212 (0) 537 70 21 14, Mail: contact@pyxicom.com, Clients: Renault, Dacia, INWI, Wafasalaf, Mcdonalds, Le Point, BMCE Capital Gestion, H24info, Danone, Illionweb, , Web: http://www.pyxicom.com/, Social Media:
https://www.facebook.com/pyxicom
https://twitter.com/pyxicom, Services: CMS Joomla, WordPress, Drupal, Typo3, JoomlaVirtuemart, Prestashop, Magento, Specific Development PHP4 / 5, Symphony Framework, Specific Development DotNet, Montage Templates xHTML / CSS – HTML 5 jQuery, Responsive design, Flash / Flex / Air, Online Advertising, Community Management, Mounting Newsletters, Facebook App, Android Apps / Mobile, Diplay, Works Graphics, Adwords, Doubleclick"
